unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1527292800,2018-05-26,XRP/USD,0.6116,0.63,0.6071,0.6211,546120.0424,339195.1584
1527206400,2018-05-25,XRP/USD,0.6355,0.639,0.6052,0.6129,800207.4393,490447.1395
1527120000,2018-05-24,XRP/USD,0.6051,0.6429,0.5905,0.6357,1447684.315,920292.9188
1527033600,2018-05-23,XRP/USD,0.6509,0.6543,0.59,0.6057,2190248.782,1326633.687
1526947200,2018-05-22,XRP/USD,0.6838,0.6838,0.6491,0.6495,698593.6123,453736.5512
1526860800,2018-05-21,XRP/USD,0.702,0.7094,0.6785,0.6835,614138.3901,419763.5896
1526774400,2018-05-20,XRP/USD,0.6819,0.712,0.6776,0.7007,567594.3199,397713.34
1526688000,2018-05-19,XRP/USD,0.681,0.699,0.6703,0.6754,456422.2309,308267.5747
1526601600,2018-05-18,XRP/USD,0.6747,0.6993,0.6618,0.6845,919824.0966,629619.5941
1526515200,2018-05-17,XRP/USD,0.7186,0.7192,0.6634,0.6719,1106114.654,743198.4359
1526428800,2018-05-16,XRP/USD,0.7031,0.7193,0.6801,0.7186,3241286.52,2329188.493
1526342400,2018-05-15,XRP/USD,0.734,0.7554,0.7,0.7066,1461443.795,1032656.186
1526256000,2018-05-14,XRP/USD,0.7414,0.76,0.7061,0.735,1434864.709,1054625.561
1526169600,2018-05-13,XRP/USD,0.6941,0.7602,0.685,0.741,1649870.824,1222554.281
1526083200,2018-05-12,XRP/USD,0.6888,0.7242,0.65,0.6999,1852781.097,1296761.49
